代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
5490,同亨,櫃,電腦及週邊設備業,0.9,31.6,28.5,-7.37,-5.05,0.82,30.5,7.41,25.1,1,1.06,48.7,3.38,8.8,-0.91
5493,三聯,櫃,其他電子業,1.02,37.4,58.6,14.5,13.9,1.81,33.8,22.6,48.6,27,3.04,39.6,1.32,33.4,5.9
5498,凱崴,櫃,電子零組件業,1.24,38.6,28.6,0.15,0.13,-0.54,,11.8,47.6,1,0.75,56.4,2.38,30.7,-0.74
5508,永信建,櫃,建材營造業,0.86,197,38.5,37.9,41.2,1.64,11.1,-80.9,71.8,21,16,47.8,5.41,67.6,-5.14
5511,德昌,櫃,建材營造業,0.59,69,39.3,15.2,15.6,3.31,7.85,15.8,55.6,27,6.25,21.7,2.45,43.8,11
5512,力麒,櫃,建材營造業,0.68,66.5,33.1,0.19,0.38,0.18,54.2,13.8,58.6,2,2.07,25.4,6.36,40.6,-4.12
5514,三豐,櫃,建材營造業,0.43,41.3,37.7,1.12,1.71,-0.42,53,0.02,51.1,-4,0,23.4,0.04,69.1,-3.29
5516,雙喜,櫃,建材營造業,0.37,7.14,43.7,-14.8,-24.2,2.75,,-0.87,88.2,-1,0,31,0.09,26.2,-0.2
5520,力泰,櫃,建材營造業,0.17,54.9,49.4,19.5,20,6.24,9.34,3.8,30.2,27,6.01,14.7,0.01,71.1,6.62
5523,豐謙,櫃,建材營造業,0.15,46.6,41.4,13.1,10.7,-0.13,,-99.3,38.9,8,1.66,12.3,0.34,76.4,-5.95
5529,鉅陞,櫃,建材營造業,0.58,28.4,54.9,-8.97,-8.63,-2,,5.56,75.4,-10,0,33.1,1.3,60.3,-5.97
5530,龍巖,櫃,其他業,0.6,237,38.5,6.22,6.19,0.26,18.4,13.8,64.8,-3,0,34.6,58,21.7,-2.48
